Seconds,Channel,Value
0,38,254
0,35,254
0,28,254
10,38,0
10,35,0
10,28,0
20,38,254
20,35,254
20,28,254
30,38,0
30,35,0
30,28,0
40,38,254
40,35,254
40,28,254
50,38,0
50,35,0
50,28,0
60,38,254
60,35,254
60,28,254
70,38,0
70,35,0
70,28,0
80,38,254
80,35,254
80,28,254
90,38,0
90,35,0
90,28,0
100,38,254
100,35,254
100,28,254
110,38,0
110,35,0
110,28,0
120,38,254
120,35,254
120,28,254
130,38,0
130,35,0
130,28,0
140,38,254
140,35,254
140,28,254
150,38,0
150,35,0
150,28,0
160,38,254
160,35,254
160,28,254
170,38,0
170,35,0
170,28,0
180,38,254
180,35,254
180,28,254
190,38,0
190,35,0
190,28,0
200,38,254
200,35,254
200,28,254
210,38,0
210,35,0
210,28,0
220,38,254
220,35,254
220,28,254
230,38,0
230,35,0
230,28,0
240,38,254
240,35,254
240,28,254
250,38,0
250,35,0
250,28,0
260,38,254
260,35,254
260,28,254
270,38,0
270,35,0
270,28,0
280,38,254
280,35,254
280,28,254
290,38,0
290,35,0
290,28,0
300,38,254
300,35,254
300,28,254
310,38,0
310,35,0
310,28,0
320,38,254
320,35,254
320,28,254
330,38,0
330,35,0
330,28,0
340,38,254
340,35,254
340,28,254
350,38,0
350,35,0
350,28,0
360,38,254
360,35,254
360,28,254
370,38,0
370,35,0
370,28,0
380,38,254
380,35,254
380,28,254
390,38,0
390,35,0
390,28,0
400,38,254
400,35,254
400,28,254
410,38,0
410,35,0
410,28,0
420,38,254
420,35,254
420,28,254
430,38,0
430,35,0
430,28,0
440,38,254
440,35,254
440,28,254
450,38,0
450,35,0
450,28,0
460,38,254
460,35,254
460,28,254
470,38,0
470,35,0
470,28,0
480,38,254
480,35,254
480,28,254
490,38,0
490,35,0
490,28,0
500,38,254
500,35,254
500,28,254
510,38,0
510,35,0
510,28,0
520,38,254
520,35,254
520,28,254
530,38,0
530,35,0
530,28,0
540,38,254
540,35,254
540,28,254
550,38,0
550,35,0
550,28,0
560,38,254
560,35,254
560,28,254
570,38,0
570,35,0
570,28,0
580,38,254
580,35,254
580,28,254
590,38,0
590,35,0
590,28,0
600,38,254
600,35,254
600,28,254
610,38,0
610,35,0
610,28,0
620,38,254
620,35,254
620,28,254
630,38,0
630,35,0
630,28,0
640,38,254
640,35,254
640,28,254
650,38,0
650,35,0
650,28,0
660,38,254
660,35,254
660,28,254
670,38,0
670,35,0
670,28,0
680,38,254
680,35,254
680,28,254
690,38,0
690,35,0
690,28,0
700,38,254
700,35,254
700,28,254
710,38,0
710,35,0
710,28,0
720,38,254
720,35,254
720,28,254
730,38,0
730,35,0
730,28,0
740,38,254
740,35,254
740,28,254
750,38,0
750,35,0
750,28,0
760,38,254
760,35,254
760,28,254
770,38,0
770,35,0
770,28,0
780,38,254
780,35,254
780,28,254
790,38,0
790,35,0
790,28,0
800,38,254
800,35,254
800,28,254
810,38,0
810,35,0
810,28,0
820,38,254
820,35,254
820,28,254
830,38,0
830,35,0
830,28,0
840,38,254
840,35,254
840,28,254
850,38,0
850,35,0
850,28,0
860,38,254
860,35,254
860,28,254
870,38,0
870,35,0
870,28,0
880,38,254
880,35,254
880,28,254
890,38,0
890,35,0
890,28,0
900,38,254
900,35,254
900,28,254
910,38,0
910,35,0
910,28,0
920,38,254
920,35,254
920,28,254
930,38,0
930,35,0
930,28,0
940,38,254
940,35,254
940,28,254
950,38,0
950,35,0
950,28,0
960,38,254
960,35,254
960,28,254
970,38,0
970,35,0
970,28,0
980,38,254
980,35,254
980,28,254
990,38,0
990,35,0
990,28,0
1000,38,254
1000,35,254
1000,28,254
1010,38,0
1010,35,0
1010,28,0
1020,38,254
1020,35,254
1020,28,254
1030,38,0
1030,35,0
1030,28,0
1040,38,254
1040,35,254
1040,28,254
1050,38,0
1050,35,0
1050,28,0
1060,38,254
1060,35,254
1060,28,254
1070,38,0
1070,35,0
1070,28,0
1080,38,254
1080,35,254
1080,28,254
1090,38,0
1090,35,0
1090,28,0
1100,38,254
1100,35,254
1100,28,254
1110,38,0
1110,35,0
1110,28,0
1120,38,254
1120,35,254
1120,28,254
1130,38,0
1130,35,0
1130,28,0
1140,38,254
1140,35,254
1140,28,254
1150,38,0
1150,35,0
1150,28,0
1160,38,254
1160,35,254
1160,28,254
1170,38,0
1170,35,0
1170,28,0
1180,38,254
1180,35,254
1180,28,254
1190,38,0
1190,35,0
1190,28,0
1200,38,254
1200,35,254
1200,28,254
1210,38,0
1210,35,0
1210,28,0
1220,38,254
1220,35,254
1220,28,254
1230,38,0
1230,35,0
1230,28,0
1240,38,254
1240,35,254
1240,28,254
1250,38,0
1250,35,0
1250,28,0
1260,38,254
1260,35,254
1260,28,254
1270,38,0
1270,35,0
1270,28,0
1280,38,254
1280,35,254
1280,28,254
1290,38,0
1290,35,0
1290,28,0
1300,38,254
1300,35,254
1300,28,254
1310,38,0
1310,35,0
1310,28,0
1320,38,254
1320,35,254
1320,28,254
1330,38,0
1330,35,0
1330,28,0
1340,38,254
1340,35,254
1340,28,254
1350,38,0
1350,35,0
1350,28,0
1360,38,254
1360,35,254
1360,28,254
1370,38,0
1370,35,0
1370,28,0
1380,38,254
1380,35,254
1380,28,254
1390,38,0
1390,35,0
1390,28,0
1400,38,254
1400,35,254
1400,28,254
1410,38,0
1410,35,0
1410,28,0
1420,38,254
1420,35,254
1420,28,254
1430,38,0
1430,35,0
1430,28,0
1440,38,254
1440,35,254
1440,28,254
1450,38,0
1450,35,0
1450,28,0
1460,38,254
1460,35,254
1460,28,254
1470,38,0
1470,35,0
1470,28,0
1480,38,254
1480,35,254
1480,28,254
1490,38,0
1490,35,0
1490,28,0
1500,38,254
1500,35,254
1500,28,254
1510,38,0
1510,35,0
1510,28,0
1520,38,254
1520,35,254
1520,28,254
1530,38,0
1530,35,0
1530,28,0
1540,38,254
1540,35,254
1540,28,254
1550,38,0
1550,35,0
1550,28,0
1560,38,254
1560,35,254
1560,28,254
1570,38,0
1570,35,0
1570,28,0
1580,38,254
1580,35,254
1580,28,254
1590,38,0
1590,35,0
1590,28,0
1600,38,254
1600,35,254
1600,28,254
1610,38,0
1610,35,0
1610,28,0
1620,38,254
1620,35,254
1620,28,254
1630,38,0
1630,35,0
1630,28,0
1640,38,254
1640,35,254
1640,28,254
1650,38,0
1650,35,0
1650,28,0
1660,38,254
1660,35,254
1660,28,254
1670,38,0
1670,35,0
1670,28,0
1680,38,254
1680,35,254
1680,28,254
1690,38,0
1690,35,0
1690,28,0
1700,38,254
1700,35,254
1700,28,254
1710,38,0
1710,35,0
1710,28,0
1720,38,254
1720,35,254
1720,28,254
1730,38,0
1730,35,0
1730,28,0
1740,38,254
1740,35,254
1740,28,254
1750,38,0
1750,35,0
1750,28,0
1760,38,254
1760,35,254
1760,28,254
1770,38,0
1770,35,0
1770,28,0
1780,38,254
1780,35,254
1780,28,254
1790,38,0
1790,35,0
1790,28,0
1800,38,254
1800,35,254
1800,28,254
1810,38,0
1810,35,0
1810,28,0
1820,38,254
1820,35,254
1820,28,254
1830,38,0
1830,35,0
1830,28,0
1840,38,254
1840,35,254
1840,28,254
1850,38,0
1850,35,0
1850,28,0
1860,38,254
1860,35,254
1860,28,254
1870,38,0
1870,35,0
1870,28,0
1880,38,254
1880,35,254
1880,28,254
1890,38,0
1890,35,0
1890,28,0
1900,38,254
1900,35,254
1900,28,254
1910,38,0
1910,35,0
1910,28,0
1920,38,254
1920,35,254
1920,28,254
1930,38,0
1930,35,0
1930,28,0
1940,38,254
1940,35,254
1940,28,254
1950,38,0
1950,35,0
1950,28,0
1960,38,254
1960,35,254
1960,28,254
1970,38,0
1970,35,0
1970,28,0
1980,38,254
1980,35,254
1980,28,254
1990,38,0
1990,35,0
1990,28,0
2000,38,254
2000,35,254
2000,28,254
2010,38,0
2010,35,0
2010,28,0
2020,38,254
2020,35,254
2020,28,254
2030,38,0
2030,35,0
2030,28,0
2040,38,254
2040,35,254
2040,28,254
2050,38,0
2050,35,0
2050,28,0
2060,38,254
2060,35,254
2060,28,254
